Number,CountyName,Year,beef,milk,steers,bulls,dairy_150,dairy_440,fin_cattle,hogs_fin,hogs_sow,hogs_boars,corng_y,corng_pa,corng_ha,soy_y,soy_pa,soy_ha,CN_lb/ac,CN,MN,FN,GN,NS
0,ADAIR,1968,33900,3500,15723,1695,1506,1506,10974,109267,594,11880,84.0,76400,75000.0,32.3,54800,46400.0,23.68274743,26.5,44.6,31.8,91.6,11.3
1,ADAIR,1969,34700,3300,18085,1735,1419,1419,11762,100933,553,11056,90.0,80000,77000.0,31.2,54700,44000.0,14.60737215,16.4,42.4,28.5,91.3,-4.0
2,ADAIR,1970,36400,3300,18085,1820,1305,1305,11762,110600,547,10943,84.1,84600,81500.0,33.9,54600,44400.0,14.85291802,16.7,43.0,33.3,91.8,1.2
3,ADAIR,1971,38000,3000,16279,1900,1054,1054,11160,104933,463,9252,97.0,95700,92500.0,33.3,54500,43100.0,18.58362064,20.8,37.9,29.6,94.6,-6.3
4,ADAIR,1972,41300,2800,17260,2065,939,939,11487,101267,475,9510,109.0,85800,83500.0,33.0,54400,50400.0,18.95093693,21.2,40.6,31.0,103.8,-11.0
5,ADAIR,1973,39200,2300,15707,1960,879,879,10969,101933,471,9416,104.1,91600,88700.0,32.0,54300,53600.0,36.61664595,41.0,37.6,27.7,99.9,6.4
6,ADAIR,1974,36400,2000,14015,1820,840,840,10738,97600,408,8151,57.3,104500,95300.0,26.5,54200,51600.0,42.04502487,47.1,32.6,15.3,67.6,27.4
7,ADAIR,1975,37800,2100,9807,1890,992,992,8736,94467,428,8559,64.6,109400,101300.0,27.7,55500,55400.0,37.14152619,41.6,29.9,17.3,73.1,15.7
8,ADAIR,1976,37700,2350,12503,1885,1316,1316,10318,97367,472,9444,100.1,113900,108800.0,30.3,52100,51900.0,45.3151938,50.8,31.8,20.5,92.3,10.8
9,ADAIR,1977,40038,2362,12422,2002,1291,1291,10974,109467,506,10124,50.1,117600,109900.0,31.4,55000,54500.0,29.20325842,32.7,33.1,22.7,69.6,18.9
10,ADAIR,1978,40800,2300,13811,2040,1282,1282,12437,108333,534,10681,103.7,115000,109000.0,33.6,55300,55000.0,26.49783522,29.7,34.3,27.0,99.5,-8.5
11,ADAIR,1979,37000,2200,13239,1850,1283,1283,11746,125000,493,9866,114.7,120000,116000.0,34.5,58800,58300.0,33.75567017,37.8,33.9,28.9,106.2,-5.6
12,ADAIR,1980,40000,2300,11359,2000,1260,1260,10453,136667,491,9814,89.7,120000,116000.0,37.5,59300,56500.0,33.73850496,37.8,35.2,34.5,97.5,10.0
13,ADAIR,1981,41600,2200,11196,2080,1166,1166,11065,129648,483,9655,121.0,123000,120100.0,43.0,61400,61400.0,35.64754317,40.0,33.6,44.6,121.9,-3.7
14,ADAIR,1982,40300,2000,9235,2015,1108,1108,10545,116667,418,8367,102.2,119000,114900.0,32.7,62100,61900.0,31.84733703,35.7,31.4,26.8,98.5,-4.6
15,ADAIR,1983,33900,1800,9888,1695,1153,1153,11129,106667,426,8526,77.3,76000,73200.0,35.1,65200,65200.0,34.3206913,38.5,37.5,42.1,101.5,16.6
16,ADAIR,1984,30200,1400,8172,1510,902,902,8357,106333,405,8105,97.4,117000,113500.0,25.4,63100,62900.0,33.46097083,37.5,26.8,13.6,85.4,-7.5
17,ADAIR,1985,27800,1100,7191,1390,619,619,7397,110333,386,7730,127.9,116000,111800.0,39.5,64300,64000.0,34.54827423,38.7,26.0,41.0,122.1,-16.4
18,ADAIR,1986,25000,1100,7355,1250,744,744,7285,84000,371,7425,128.3,105000,101900.0,42.0,69400,69200.0,35.54972185,39.9,22.6,51.2,129.7,-16.0
19,ADAIR,1987,25000,1100,8090,1250,707,707,8530,77333,391,7824,128.4,91000,89500.0,43.9,63400,63100.0,40.98741536,45.9,25.2,57.0,133.9,-5.8
20,ADAIR,1988,27000,1100,8131,1350,537,537,8710,82000,375,7495,86.1,99000,91700.0,28.6,68100,67800.0,40.79213989,45.7,24.3,22.9,89.0,3.9
21,ADAIR,1989,28200,1300,7518,1410,630,630,7673,89667,394,7870,131.4,108000,105700.0,38.4,67900,67000.0,43.24689562,48.5,24.1,42.1,123.7,-9.0
22,ADAIR,1990,25900,1000,8009,1295,572,572,8135,82823,375,7495,115.1,114000,111700.0,36.7,66200,65800.0,47.21006772,52.9,22.1,36.7,112.2,-0.5
23,ADAIR,1991,25694,838,8417,1285,449,449,8570,77771,422,8432,126.4,111000,109200.0,42.4,69400,68900.0,52.89523976,59.3,21.5,50.3,128.0,3.1
24,ADAIR,1992,25534,765,7191,1277,422,422,8460,69839,398,7964,140.0,114000,112400.0,41.6,70000,69800.0,51.42488551,57.6,19.6,48.1,132.6,-7.3
25,ADAIR,1993,25144,689,7273,1257,371,371,8786,62338,398,7964,76.8,105000,98400.0,31.4,77000,76700.0,44.01719647,49.3,18.8,30.2,91.2,7.1
26,ADAIR,1994,24639,621,7518,1232,326,326,9166,53986,351,7027,151.0,110000,107800.0,49.8,77000,76900.0,60.78654405,68.1,17.1,70.3,154.5,1.0
27,ADAIR,1995,24935,516,7437,1247,274,274,9438,45274,319,6371,85.0,100000,98000.0,30.7,86000,85800.0,46.76220367,52.4,15.9,31.2,95.2,4.3
28,ADAIR,1996,24089,430,7355,1204,219,219,9710,36911,293,5856,119.9,107000,105000.0,37.1,96000,95800.0,60.02622199,67.3,13.4,48.3,122.6,6.4
29,ADAIR,1997,23830,314,8172,1192,136,136,10281,31732,196,3912,120.1,99500,96400.0,40.1,95900,94500.0,56.81550976,63.7,13.2,58.1,130.4,4.6
30,ADAIR,1998,22672,295,8172,1134,136,136,8724,32017,165,3306,142.7,104600,101300.0,43.4,95100,94500.0,55.71558441,62.5,12.1,64.8,144.8,-5.4
31,ADAIR,1999,22769,266,8336,1138,116,116,9579,31732,136,2712,139.3,106000,103600.0,42.2,101000,100800.0,57.44247617,64.4,11.9,63.3,141.9,-2.3
32,ADAIR,2000,22630,239,8989,1132,98,98,9763,31173,114,2274,131.8,105000,102700.0,40.0,102000,101800.0,54.026953,60.6,11.8,58.0,134.7,-4.3
33,ADAIR,2001,21500,198,8581,1075,86,86,9027,31052,96,1920,127.3,102000,99600.0,39.2,99000,98400.0,50.88035583,57.0,11.6,55.9,131.3,-6.8
34,ADAIR,2002,22289,195,13495,1114,70,70,10461,30732,75,1500,154.3,108000,105000.0,47.2,97000,96300.0,49.32756778,55.3,12.4,74.1,156.8,-15.0
35,ADAIR,2003,22000,300,10293,1100,133,133,9431,27261,64,1270,131.3,103500,100500.0,28.1,101000,100600.0,52.12879059,58.4,11.3,26.4,109.1,-13.0
36,ADAIR,2004,23000,203,8679,1150,74,74,8560,23781,57,1138,182.1,108000,106000.0,51.7,98000,97700.0,58.27580405,65.3,10.4,86.1,176.9,-15.1
37,ADAIR,2005,26000,179,7960,1300,63,63,8320,20312,49,988,159.0,109000,106500.0,48.8,96500,96000.0,59.88152647,67.1,10.2,77.6,161.5,-6.6
38,ADAIR,2006,26000,170,7467,1300,49,49,8156,17031,41,830,164.9,104000,103300.0,51.0,101500,101000.0,60.67033317,68.0,9.6,87.5,170.3,-5.2
39,ADAIR,2007,18026,94,9555,901,30,30,7694,14116,31,627,160.7,116500,115100.0,53.3,91000,90900.0,58.5743442,65.7,8.0,83.2,167.7,-10.8
40,ADAIR,2008,19200,383,7098,960,126,126,6523,18300,29,571,169.0,104000,102000.0,45.5,106000,105300.0,66.95054967,75.1,8.2,74.5,161.1,-3.3
41,ADAIR,2009,18400,384,6479,920,141,141,5965,23585,29,571,179.3,113500,112000.0,51.5,94500,93900.0,61.60574846,69.1,8.6,81.8,173.3,-13.8
42,ADAIR,2010,17800,386,6388,890,144,144,5583,29203,27,545,139.1,105500,104500.0,48.7,102000,101300.0,42.90510108,48.1,9.0,81.0,155.5,-17.4
43,ADAIR,2011,17100,376,6068,855,157,157,5124,35190,26,512,152.8,112000,109300.0,50.3,103500,101900.0,95.90719038,107.5,9.1,83.3,163.0,36.9
44,ADAIR,2012,17222,195,6319,861,94,94,4856,41045,20,409,104.4,110000,104500.0,38.6,105500,105200.0,94.26350336,105.7,9.6,53.9,121.9,47.3
45,ADAIR,2013,16708,195,5609,835,105,105,4918,58944,23,464,137.8,113000,109900.0,36.8,104000,103500.0,107.0941974,120.1,11.5,48.1,129.4,50.3
46,ADAIR,2014,15789,192,5832,789,105,105,5290,77710,24,483,169.3,109500,104300.0,50.0,106000,102700.0,90.23391521,101.2,13.8,84.5,170.0,29.5
47,ADAIR,2015,16259,200,6173,813,110,110,5702,95608,25,492,176.5,112000,107400.0,55.1,106500,106100.0,62.88696747,70.5,15.9,97.2,183.6,0.0
48,ADAIR,2016,16954,203,6605,848,103,103,6145,114421,25,492,190.3,115000,113800.0,59.3,107000,106700.0,66.60774564,74.7,18.1,107.1,196.3,3.6
49,ADAIR,2017,18049,165,9310,902,86,86,7345,132847,24,478,175.2,108500,104100.0,50.5,110500,109900.0,67.69547957,75.9,21.2,88.1,174.7,10.5
50,ADAIR,2018,16475,214,7375,824,148,148,6700,133510,24,488,149.5,108500,103100.0,50.1,106500,105700.0,61.62668591,69.1,21.2,85.4,163.8,11.9
51,ADAIR,2019,16119,214,7489,806,150,150,6738,134281,25,502,176.6,111500,107300.0,53.3,101500,100900.0,62.27953411,69.8,21.4,90.4,178.6,3.0
52,ADAMS,1968,22500,1500,10847,1125,657,657,7857,152309,62,1241,93.3,55800,55000.0,36.9,27500,32400.0,20.80978505,23.3,67.6,33.3,102.4,21.8
53,ADAMS,1969,23300,1200,12477,1165,548,548,8400,149309,58,1154,89.0,58000,56000.0,29.7,28200,31000.0,12.89593823,14.5,64.8,20.3,88.0,11.6
54,ADAMS,1970,24600,1000,12477,1230,385,385,8400,151975,57,1143,76.4,59900,57800.0,31.8,28900,28300.0,13.13037315,14.7,63.5,23.9,83.0,19.1
55,ADAMS,1971,24700,800,11231,1235,283,283,7985,148309,48,967,96.0,65100,63600.0,31.9,29600,27400.0,16.10155924,18.0,57.5,23.1,91.0,7.6
56,ADAMS,1972,24300,700,11907,1215,278,278,8210,144309,50,993,105.9,59000,57400.0,33.0,30300,30400.0,15.98981711,17.9,59.9,27.1,100.5,4.4
57,ADAMS,1973,23800,600,10836,1190,196,196,7645,142975,49,983,101.0,61600,59100.0,31.0,31000,30600.0,32.27444992,36.2,56.3,23.1,94.8,20.8
58,ADAMS,1974,22300,600,9669,1115,237,237,7656,139309,43,851,42.5,67800,60800.0,25.2,31700,31600.0,38.11661169,42.7,50.8,12.0,57.8,47.7
59,ADAMS,1975,24600,600,6765,1230,276,276,6255,140875,45,893,57.6,67100,62100.0,29.9,33800,33700.0,31.81549715,35.7,49.6,21.2,72.9,33.6
60,ADAMS,1976,26500,500,8626,1325,287,287,6709,69033,49,987,101.6,71700,68300.0,31.8,30900,30700.0,39.4386543,44.2,32.1,22.1,94.4,4.0
61,ADAMS,1977,25706,508,8570,1285,278,278,6523,67467,53,1057,60.8,71900,68000.0,31.0,35300,35000.0,26.40764257,29.6,30.0,22.8,75.1,7.3
62,ADAMS,1978,23900,500,9528,1195,270,270,7009,65667,56,1115,95.5,70000,67000.0,31.1,36200,36000.0,23.77209386,26.6,29.9,23.7,92.8,-12.6
63,ADAMS,1979,23000,600,9133,1150,281,281,6378,72333,52,1030,116.4,79000,73000.0,35.8,37500,37400.0,29.63557679,33.2,28.2,30.6,109.2,-17.2
64,ADAMS,1980,22000,600,7837,1100,272,272,5946,75000,51,1025,78.4,84000,74000.0,35.2,40100,38900.0,30.4685184,34.2,26.3,29.7,90.3,-0.1
65,ADAMS,1981,23900,600,7724,1195,267,267,5841,76970,50,1009,119.6,85000,79600.0,40.1,44100,44100.0,33.89272312,38.0,26.0,40.4,118.5,-14.1
66,ADAMS,1982,23100,600,6371,1155,316,316,5424,75000,44,873,95.3,73000,68300.0,29.3,47600,47500.0,30.4609186,34.1,26.7,23.6,93.4,-9.0
67,ADAMS,1983,20300,600,6822,1015,341,341,5341,71667,45,890,60.1,49000,45700.0,26.9,44500,44500.0,32.70207892,36.7,32.8,22.3,79.7,12.1
68,ADAMS,1984,20500,500,5638,1025,206,206,4079,67000,42,847,70.0,63000,60800.0,19.6,49300,48600.0,26.27464423,29.5,25.0,3.3,66.3,-8.5
69,ADAMS,1985,19500,400,4961,975,122,122,3820,69333,40,808,126.1,66000,64400.0,38.5,50200,50000.0,32.01440215,35.9,23.9,47.4,125.0,-17.8
70,ADAMS,1986,18500,400,5074,925,160,160,3858,51667,39,775,119.6,59000,57900.0,40.0,52900,52500.0,29.26382926,32.8,20.7,55.7,128.3,-19.1
71,ADAMS,1987,18000,300,5581,900,174,174,4860,46667,41,817,125.8,51000,49700.0,40.8,44200,44000.0,34.21996298,38.4,23.6,56.7,131.9,-13.2
72,ADAMS,1988,19500,300,5610,975,133,133,4703,50667,39,783,73.5,56000,54900.0,22.6,42100,41900.0,35.58043015,39.9,24.2,10.2,73.0,1.3
73,ADAMS,1989,20000,400,5187,1000,171,171,4729,54667,41,822,110.1,63000,60500.0,35.5,43700,43600.0,36.73300887,41.2,23.5,38.3,111.4,-8.4
74,ADAMS,1990,18700,300,5525,935,146,146,4914,53736,39,783,119.4,64000,62500.0,38.5,41900,41700.0,42.21326662,47.3,23.1,43.4,119.4,-5.6
75,ADAMS,1991,18537,262,5807,927,123,123,5080,54207,44,881,133.7,61000,60000.0,40.8,44100,44000.0,47.81821244,53.6,23.4,51.2,131.4,-3.2
76,ADAMS,1992,18407,252,4961,920,128,128,4871,52600,42,831,135.4,64000,62900.0,41.1,44000,43800.0,47.97542385,53.8,22.1,50.4,131.7,-5.4
77,ADAMS,1993,18111,241,5018,906,125,125,4962,51310,42,831,79.0,58000,53800.0,33.1,45000,44700.0,38.51798326,43.2,22.8,35.2,96.6,4.6
78,ADAMS,1994,17733,235,5187,887,124,124,5090,49149,37,734,148.2,63000,61100.0,48.5,45000,44900.0,56.63744486,63.5,21.2,68.2,151.7,1.2
79,ADAMS,1995,17931,214,5130,897,119,119,5144,46326,33,666,87.3,46000,44600.0,28.7,55000,54800.0,42.59070827,47.7,22.0,30.9,97.1,3.5
80,ADAMS,1996,17307,203,5074,865,114,114,5197,43447,31,611,125.4,66000,63100.0,40.0,53000,52900.0,56.35904015,63.2,17.9,52.5,129.0,4.6
81,ADAMS,1997,17106,177,5638,855,90,90,5458,44984,119,2384,119.9,57300,55700.0,42.3,57000,56400.0,50.82783982,57.0,19.5,64.9,135.7,5.7
82,ADAMS,1998,16169,180,5638,808,93,93,4713,43164,96,1914,137.7,64500,62100.0,43.7,56500,56300.0,49.23555494,55.2,17.3,64.3,142.9,-6.1
83,ADAMS,1999,16126,177,5751,806,83,83,5117,40448,73,1463,128.1,61000,59000.0,39.4,60000,59900.0,52.81526807,59.2,16.9,56.8,132.5,0.4
84,ADAMS,2000,15911,174,6202,796,74,74,5267,37415,55,1101,140.0,64000,62300.0,41.7,60000,59800.0,48.63473206,54.5,15.9,61.4,140.8,-9.0
85,ADAMS,2001,15000,160,5920,750,68,68,4873,34953,39,770,120.3,60000,58500.0,40.7,62000,61500.0,46.89196596,52.6,15.1,61.8,133.2,-3.7
86,ADAMS,2002,14817,263,7832,741,72,72,6261,32286,20,399,132.3,66000,63500.0,43.5,59000,58600.0,44.57983385,50.0,15.4,64.5,140.8,-10.9
87,ADAMS,2003,16500,222,6235,825,55,55,5745,36026,18,367,122.2,62000,59500.0,27.5,62000,61800.0,45.86330385,51.4,16.0,25.1,104.7,-12.2
88,ADAMS,2004,15500,145,5507,775,33,33,5169,39646,18,363,169.3,65000,63500.0,50.7,62000,61800.0,52.04287466,58.3,15.5,85.7,171.2,-11.7
89,ADAMS,2005,17000,161,5310,850,45,45,5103,43133,18,354,157.1,66000,64500.0,50.2,61000,60700.0,55.05341105,61.7,16.5,83.1,164.7,-3.4
90,ADAMS,2006,15000,207,5263,750,94,94,5754,46901,17,346,145.4,65500,63800.0,45.2,61000,60800.0,53.02526839,59.4,17.4,70.3,150.1,-3.0
91,ADAMS,2007,18016,397,7156,901,25,25,4975,51867,16,318,153.4,71000,69200.0,51.5,57000,56900.0,52.42073473,58.8,18.8,80.1,162.4,-4.7
92,ADAMS,2008,12635,721,5271,632,263,263,4348,53230,14,286,156.0,65500,64000.0,39.0,63700,63200.0,58.23945596,65.3,17.7,55.4,141.5,-3.1
93,ADAMS,2009,11532,724,4764,577,322,322,4179,53142,41,814,168.1,72000,71200.0,51.0,62500,62200.0,52.97626562,59.4,16.7,82.4,168.8,-10.3
94,ADAMS,2010,10596,727,4643,530,369,369,4140,54132,68,1364,139.3,71000,69000.0,47.7,65000,64200.0,40.26786548,45.1,16.6,76.2,152.4,-14.5
95,ADAMS,2011,9610,709,4349,480,442,442,4043,55770,97,1933,151.7,73000,71000.0,46.9,67800,66800.0,93.1797105,104.5,16.2,74.7,155.7,39.7
96,ADAMS,2012,10033,368,4452,502,167,167,4078,57019,108,2165,109.8,73500,71500.0,40.9,68000,67800.0,93.77425891,105.1,15.9,58.9,127.4,52.5
97,ADAMS,2013,10500,367,4118,525,160,160,3999,54839,123,2455,147.6,74500,71100.0,44.1,70100,69800.0,98.15820634,110.0,15.2,67.8,149.2,43.8
98,ADAMS,2014,9900,361,4429,495,155,155,4136,53889,128,2557,169.9,75500,73900.0,47.6,70000,69700.0,103.118007,115.6,14.9,76.4,164.2,42.7
99,ADAMS,2015,10700,376,4819,535,145,145,4298,51825,130,2608,169.6,74400,72400.0,50.3,66800,66500.0,50.49945334,56.6,15.3,82.1,169.1,-15.1
100,ADAMS,2016,11500,382,5278,575,117,117,4484,50833,130,2608,187.4,74000,70800.0,56.5,69400,69200.0,53.53735379,60.0,15.2,100.2,190.4,-15.0
101,ADAMS,2017,13043,310,7589,652,83,83,5287,49374,127,2531,179.9,71500,67300.0,52.6,71500,71100.0,54.42294655,61.0,15.9,92.9,181.1,-11.3
102,ADAMS,2018,13200,403,6012,660,129,129,4761,50031,129,2582,171.6,71000,68900.0,53.2,69500,69000.0,49.46267876,55.4,16.0,93.6,178.1,-13.1
103,ADAMS,2019,12900,403,6105,645,128,128,4792,50796,133,2658,172.0,70500,68950.0,54.0,67500,66900.0,49.99461836,56.0,16.4,94.6,179.1,-12.1
104,ALLAMAKEE,1968,21000,23700,8842,1050,9652,9652,5704,81478,329,6573,90.3,58600,52000.0,29.5,8200,2100.0,9.384148989,10.5,126.5,7.5,69.2,75.3
105,ALLAMAKEE,1969,23000,22500,10170,1150,8204,8204,6147,74311,306,6117,101.0,59000,51000.0,28.3,7600,3000.0,3.339809356,3.7,120.7,6.2,77.4,53.2
106,ALLAMAKEE,1970,23700,21500,10170,1185,7954,7954,6147,82311,303,6055,96.1,62400,55900.0,32.3,7000,4000.0,3.728409406,4.2,116.1,7.7,75.7,52.3
107,ALLAMAKEE,1971,28100,20700,9155,1405,6923,6923,5809,77644,256,5119,100.2,70700,62700.0,26.1,6400,3600.0,5.314493938,6.0,100.8,3.5,76.3,34.0
108,ALLAMAKEE,1972,29600,20300,9706,1480,7915,7915,5992,72644,263,5262,109.2,66300,58400.0,31.0,5800,3900.0,5.710021771,6.4,107.1,5.6,84.2,34.9
109,ALLAMAKEE,1973,29000,19800,8833,1450,7286,7286,5411,74644,261,5210,108.3,72500,63500.0,31.6,5200,5100.0,17.08827185,19.2,97.2,4.8,84.4,36.8
110,ALLAMAKEE,1974,29100,19900,7882,1455,8562,8562,5594,71311,226,4510,87.9,82500,68600.0,25.6,4600,4500.0,22.97204133,25.8,87.0,2.1,67.9,47.0
111,ALLAMAKEE,1975,30500,20800,5515,1525,8709,8709,4938,68244,237,4735,97.7,76500,63400.0,28.6,3700,3700.0,18.10383672,20.3,95.0,2.6,75.2,42.7
112,ALLAMAKEE,1976,34600,20800,7031,1730,10952,10952,5677,84367,261,5226,87.4,80100,64900.0,27.0,3100,3000.0,21.13341832,23.7,101.2,1.8,67.0,59.7
113,ALLAMAKEE,1977,33400,22400,6985,1670,11831,11831,5462,91833,280,5602,118.5,81300,69600.0,38.1,2100,2100.0,10.46701526,11.7,107.0,2.7,90.0,31.4
114,ALLAMAKEE,1978,32200,23400,7767,1610,13262,13262,6589,88333,295,5910,118.0,85000,75000.0,36.7,3100,3000.0,7.948590868,8.9,104.6,3.5,90.1,26.9
115,ALLAMAKEE,1979,29500,22500,7445,1475,12782,12782,5982,100000,273,5459,124.0,85000,75000.0,36.4,3300,3300.0,13.78331735,15.5,103.8,3.7,94.6,28.4
116,ALLAMAKEE,1980,32000,22300,6388,1600,12877,12877,5463,96667,272,5430,114.5,85000,76000.0,38.2,3400,3400.0,15.3308066,17.2,102.5,4.2,88.2,35.7
117,ALLAMAKEE,1981,33300,22800,6296,1665,13013,13013,5765,103333,267,5342,127.2,97000,88700.0,38.4,3800,3800.0,16.90202719,18.9,93.2,4.1,97.1,19.1
118,ALLAMAKEE,1982,31800,22800,5193,1590,12949,12949,5264,95000,231,4630,116.3,94000,85800.0,33.0,4000,4000.0,13.70252489,15.4,92.4,3.3,88.6,22.5
119,ALLAMAKEE,1983,26700,22000,5561,1335,13192,13192,5487,98333,236,4717,109.6,60000,51300.0,37.6,4200,4100.0,13.9524853,15.6,138.7,6.9,87.1,74.1
120,ALLAMAKEE,1984,26000,23000,4596,1300,13871,13871,4632,97333,224,4484,112.7,85000,78600.0,30.2,4200,4200.0,11.26612422,12.6,101.0,3.1,85.8,30.9
121,ALLAMAKEE,1985,22800,23000,4044,1140,14567,14567,4348,91667,214,4277,114.6,88000,81100.0,32.4,3900,3800.0,12.76729831,14.3,95.7,3.3,87.3,26.0
122,ALLAMAKEE,1986,20000,25000,4136,1000,13573,13573,4212,78333,205,4109,138.7,80000,74000.0,38.3,4200,4200.0,12.97511443,14.5,102.7,5.4,106.1,16.5
123,ALLAMAKEE,1987,19000,22000,4550,950,11939,11939,4850,90667,216,4329,136.2,67000,62100.0,43.9,3600,3600.0,14.8168028,16.6,117.8,7.1,105.7,35.8
124,ALLAMAKEE,1988,18800,20500,4573,940,11785,11785,4358,96333,207,4148,66.1,66000,54500.0,29.7,6000,5900.0,14.81447681,16.6,112.9,5.2,56.7,78.0
125,ALLAMAKEE,1989,19000,22000,4228,950,12025,12025,3909,98667,218,4354,122.2,75000,65500.0,42.3,4700,4700.0,15.9586091,17.9,106.0,7.7,96.6,35.0
126,ALLAMAKEE,1990,18600,23500,4504,930,12131,12131,3915,95691,207,4148,132.7,75000,68400.0,42.0,4400,4400.0,20.39204285,22.9,108.8,7.1,103.3,35.5
127,ALLAMAKEE,1991,18459,20749,4734,923,11198,11198,3906,95038,233,4666,132.6,77000,71400.0,43.3,4900,4900.0,24.91336899,27.9,98.5,8.1,103.9,30.6
128,ALLAMAKEE,1992,18349,20122,4044,917,10968,10968,3590,90778,220,4407,129.4,78000,72700.0,37.3,5000,4800.0,25.75602389,28.9,93.7,6.2,99.9,28.9
129,ALLAMAKEE,1993,18075,19484,4090,904,10374,10374,3520,87062,220,4407,83.2,75000,63000.0,35.7,7000,6900.0,20.01856405,22.4,91.6,8.1,70.7,51.4
130,ALLAMAKEE,1994,17718,19192,4228,886,9801,9801,3480,82095,194,3888,146.4,77000,71200.0,49.0,8000,8000.0,31.99962728,35.9,85.4,15.7,118.8,18.2
131,ALLAMAKEE,1995,17938,17804,4182,897,9701,9701,3379,76388,176,3525,117.0,77000,71400.0,43.7,10000,10000.0,22.62967256,25.4,78.7,15.8,99.1,20.8
132,ALLAMAKEE,1996,17334,17121,4136,867,8830,8830,3278,70896,162,3240,126.7,83000,74500.0,47.1,12000,12000.0,33.28436976,37.3,68.2,19.7,108.9,16.3
133,ALLAMAKEE,1997,17155,15244,4596,858,7482,7482,3345,70917,389,7776,135.3,74900,67300.0,45.7,21200,19500.0,32.20078993,36.1,63.9,32.8,121.9,10.9
134,ALLAMAKEE,1998,16692,15655,4596,835,8186,8186,3032,78353,411,8218,154.3,74600,68900.0,52.6,22800,22600.0,32.63336079,36.6,66.0,43.5,142.0,4.1
135,ALLAMAKEE,1999,17156,15568,4688,858,8476,8476,3263,84695,427,8537,151.4,74000,67400.0,47.3,26000,26000.0,35.03426487,39.3,66.4,40.9,137.6,9.0
136,ALLAMAKEE,2000,17462,15473,5055,873,8776,8776,3385,90363,463,9251,146.6,73000,67200.0,47.3,28000,27900.0,31.5202611,35.3,67.6,43.6,136.5,10.0
137,ALLAMAKEE,2001,17000,15900,4825,850,9406,9406,3208,97025,522,10435,150.3,67000,60900.0,41.0,32000,31700.0,34.22595761,38.4,71.9,39.8,133.6,16.5
138,ALLAMAKEE,2002,18610,12235,8106,930,5759,5759,5504,103165,576,11528,158.7,71000,63000.0,51.0,27000,26800.0,27.67829518,31.0,67.6,48.8,148.0,-0.6
139,ALLAMAKEE,2003,19500,14600,6283,975,6025,6025,4928,111144,530,10596,142.7,71000,62000.0,31.7,29000,28800.0,28.59086699,32.1,72.0,21.1,115.4,9.8
140,ALLAMAKEE,2004,17000,13700,5393,850,4810,4810,4131,118979,524,10477,163.3,70000,63000.0,42.6,30000,29900.0,34.25394236,38.4,69.9,39.5,141.0,6.8
141,ALLAMAKEE,2005,17000,13500,5045,850,6552,6552,3682,126687,512,10247,177.4,72000,65000.0,56.8,28000,27800.0,33.03828673,37.0,72.4,58.4,165.3,2.5
142,ALLAMAKEE,2006,15500,15200,4840,775,7101,7101,3613,135048,500,10007,166.2,69000,62100.0,48.9,31000,30700.0,30.00285189,33.6,77.5,51.4,152.0,10.5
143,ALLAMAKEE,2007,15051,11888,6355,753,4677,4677,4702,145373,460,9196,167.1,78000,71200.0,48.4,24000,23900.0,23.13836467,25.9,71.5,38.4,145.0,-9.2
144,ALLAMAKEE,2008,16100,11300,5880,805,4519,4519,4615,152074,443,8857,170.0,77000,67500.0,42.0,33000,32800.0,30.69165276,34.4,66.8,38.6,143.9,-4.1
145,ALLAMAKEE,2009,15400,11300,6590,770,4431,4431,4923,157882,710,14195,179.6,83000,73500.0,45.5,30500,30400.0,24.39253966,27.3,67.2,39.6,151.4,-17.3
146,ALLAMAKEE,2010,14900,11300,7909,745,4129,4129,5433,165443,973,19465,175.8,86000,79500.0,52.2,32500,32400.0,24.74193026,27.7,67.1,50.4,157.6,-12.4
147,ALLAMAKEE,2011,14300,11100,9103,715,4104,4104,5902,174190,1242,24850,173.3,92500,86900.0,52.1,29900,29700.0,41.64937308,46.7,67.8,44.7,152.8,6.4
148,ALLAMAKEE,2012,15308,12115,11474,765,5848,5848,6763,182295,1305,26097,153.6,96500,83300.0,52.2,30500,30400.0,30.73229648,34.5,70.8,44.1,143.4,6.0
149,ALLAMAKEE,2013,16000,12100,9121,800,6024,6024,6119,180350,1480,29601,162.1,88500,78100.0,50.7,31700,31500.0,30.13843542,33.8,74.5,46.3,148.3,6.3
150,ALLAMAKEE,2014,15100,12300,8555,755,6125,6125,6070,180665,1541,30822,175.6,94500,80400.0,50.6,30600,30400.0,31.22301019,35.0,71.9,42.8,154.1,-4.4
151,ALLAMAKEE,2015,16200,12600,8216,810,6163,6163,6097,178997,1572,31432,175.4,90000,82400.0,54.1,34600,34400.0,33.44408657,37.5,72.6,53.9,160.2,3.8
152,ALLAMAKEE,2016,18300,12800,8018,915,5755,5755,6171,179173,1572,31432,205.1,92000,76700.0,56.8,32200,31800.0,34.90810405,39.1,73.4,54.1,179.0,-12.4
153,ALLAMAKEE,2017,19311,13321,10350,966,4936,4936,7089,178538,1526,30517,190.5,91500,76100.0,52.6,34700,34500.0,35.35195911,39.6,73.3,51.1,167.7,-3.7
154,ALLAMAKEE,2018,19500,13100,8199,975,5470,5470,6372,179589,1556,31128,198.4,93500,73700.0,52.8,32700,32400.0,33.05005277,37.0,72.9,48.4,171.5,-13.2
